单词,词性,释义,例句
apple,n.,苹果,An apple a day keeps the doctor away.
banana,n.,香蕉,Monkeys love to eat bananas.
computer,n.,计算机,The computer is running very fast.
develop,v.,发展；开发,He wants to develop new software.
easy,adj.,容易的,This question is very easy to answer.
friend,n.,朋友,She is my best friend.
happy,adj.,快乐的,She feels happy every day.
language,n.,语言,English is an international language.
remember,v.,记得,Please remember to lock the door.
travel,v.,旅行,I love to travel around the world.
universe,n.,宇宙,The universe is full of mysteries.
music,n.,音乐,She enjoys listening to music.
write,v.,写,He likes to write stories.
water,n.,水,We need water to survive.
success,n.,成功,Hard work leads to success.
