consistent,adj.,一致的,xxx
battery,n.,电池,xxx
competent,adj.,能胜任的，有能力的,xxx
preserve,v.,保存，保护,xxx
possession,n.,拥有,xxx
proximately,adv.,近似，接近,xxx
wildfire,n.,野火,xxx
compact,adj.,紧密的，紧凑的,xxx
defy,v.,违背，违抗,xxx
absolutely,adv.,当然,xxx
filter,v.,过滤,xxx
server,n.,服务器,xxx
spoil,v.,溺爱,xxx
rustle,v.,发出沙沙声,xxx
diversion,n.,转移；娱乐,xxx
complaint,n.,抱怨，投诉,xxx
merge,v.,合并,xxx
priceless,adj.,无价的，难以用价格衡量的,xxx
honorary,adj.,荣誉的,xxx
chronic,adj.,长期的；慢性的,xxx
extracurricular,adj.,课外的,xxx
lobby,n.,游说,xxx
inexhaustible,adj.,用不完的，无穷无尽的,xxx
inevitable,adj.,不可避免的,xxx
contamination,n.,污染,xxx
suspend,v.,暂停,xxx
imminent,adj.,即将来临的,xxx
obesity,n.,肥胖,xxx
aid,v.,援助，有助于,xxx
solution,n.,解决，解决方法；溶液,xxx
tuition,n.,学费,xxx
esteem,v.,尊重,xxx
purchase,n.,购买,xxx
incorporate,v.,合并,xxx
prevail,v.,流行，普遍,xxx
irrational,adj.,不合理的，不理性的,xxx
inherent,adj.,固有的,xxx
overexcited,adj.,过于激烈的,xxx
preference,n.,偏爱,xxx
evolution,n.,演变；发展；进化,xxx
exotic,adj.,异域的，外国的,xxx
stockbroker,n.,股票经理人,xxx
misinterpret,v.,误解,xxx
prosperity,n.,繁荣,xxx
tank,n.,水箱,xxx
outdated,adj.,过时的,xxx
outnumber,v.,超过,xxx
supervisor,n.,督导,xxx
fluctuate,v.,波动,xxx
substance,n.,物质,xxx
profitable,adj.,有利可图的，有利益的,xxx
markedly,adv.,显著地,xxx
ineffective,adj.,无效的,xxx
bleak,adj.,荒凉的,xxx
optimistic,adj.,乐观的,xxx
ultimate,adj.,最终的,xxx
consumption,n.,消耗；消费,xxx
foster,v.,促进；培养,xxx
receipt,n.,发票,xxx
harsh,adj.,严酷的，严峻的,xxx
misfortune,n.,不幸；灾祸，灾难,xxx
citation,n.,引文,xxx
rape,n.,强奸,xxx
ecological,adj.,生态学的,xxx
lag,v.,落后,xxx
controversy,n.,争议,xxx
cornerstone,n.,基石,xxx
erect,v.,建立,xxx
prematurely,adv.,早熟地，过早地,xxx
initiative,n.,主动性,xxx
dilute,v.,稀释，冲淡,xxx
viewpoint,n.,观点,xxx
typical,adj.,典型的,xxx
stray,n.,走失[流浪]的动物,xxx
imbalance,n.,不平衡,xxx
affiliation,n.,隶属关系，单位团体,xxx
counterpart,n.,对等物,xxx
classify,v.,分类,xxx
demonstration,n.,展示；游行,xxx
outlive,v.,比……活的时间长,xxx
reservation,n.,预定,xxx
circumstance,n.,情况，环境,xxx
revolutionize,v.,革命化,xxx
outweigh,v.,超过,xxx
cast,v.,投掷，扔,xxx
uncertain,adj.,不确定的,xxx
threat,n.,威胁,xxx
conservative,adj.,保守的,xxx
overestimate,v.,高估,xxx
documentary,n.,纪录片,xxx
relieve,v.,减轻，缓解,xxx
regardless,adv.,不管，不顾,xxx
pause,n.,暂停，迟疑,xxx
launch,v.,发布，推出,xxx
apartment,n.,公寓,xxx
spark,n.,火花,xxx
eliminate,v.,消除,xxx
unintentionally,adv.,无意地,xxx
opposition,n.,反对,xxx
polar,adj.,极地的,xxx
integral,adj.,必需的，不可缺少的,xxx
guard,v.,保护,xxx
branch,n.,分支，分公司,xxx
affiliate,v.,使隶属于,xxx
irrigation,n.,灌溉,xxx
stove,n.,炉子,xxx
memorable,adj.,值得纪念的,xxx
elimination,n.,消除，淘汰,xxx
revenue,n.,收入,xxx
decisive,adj.,决定性的,xxx
displace,v.,取代,xxx
violation,n.,违反,xxx
ideological,adj.,意识形态的,xxx
neighborhood,n.,附近,xxx
calorie,n.,卡路里,xxx
fierce,adj.,激烈的,xxx
mention,v.,提及,xxx
extend,v.,延伸；延期,xxx
column,n.,专栏,xxx
analytical,adj.,分析的,xxx
figure,n.,数字,xxx
frighten,v.,使害怕,xxx
preindustrial,adj.,工业化以前的,xxx
furnish,v.,提供,xxx
scarcity,n.,缺乏,xxx
transform,v.,转变,xxx
misled,v.,(mislead过去式)误导,xxx
intervene,v.,干涉,xxx
vary,v.,变化,xxx
bureaucracy,n.,官僚主义,xxx
recruiter,n.,招聘者,xxx
pattern,n.,模式,xxx
necessity,n.,必须，必要性,xxx
deny,v.,否认,xxx
drift,v.,漂流,xxx
endorsement,n.,支持,xxx
dare,v.,勇敢，敢于做,xxx
consultancy,n.,咨询公司,xxx
constant,adj.,不断的,xxx
deposit,v.,存放,n.,存款,xxx
transmit,v.,传播，传导,xxx
undermine,v.,削弱,xxx
resign,v.,辞职,xxx
respective,adj.,各自的,xxx
consent,n.,同意,xxx
reunion,n.,团聚,xxx
premium,n.,〔尤指每年缴付的〕保险费,xxx
interpretation,n.,解释，理解,xxx
concrete,adj.,具体的,xxx
facility,n.,设施,xxx
convert,v.,转换，改变,xxx
prompt,v.,促使,xxx
weave,v.,织布，编织,xxx
conformity,n.,一致,xxx
inaction,n.,不作为,xxx
trim,v.,修剪,xxx
irony,n.,讽刺,xxx
monopolize,v.,垄断,xxx
workload,n.,工作量,xxx
complicated,adj.,复杂的,xxx
property,n.,财产,xxx
underrepresented,adj.,未被充分代表的,xxx
philosophy,n.,哲学,xxx
regime,n.,制度，管理体制,xxx
bizarre,adj.,古怪的；奇怪的,xxx
ruin,v.,毁坏,xxx
inspire,v.,鼓励,xxx
deforestation,n.,砍伐森林,xxx
exceptional,adj.,例外的,xxx
hazard,n.,危险,xxx
upgrade,v.,升级,xxx
abnormally,adv.,不正常地,xxx
accidentally,adv.,偶然地，意外地,xxx
frontier,n.,边境,xxx
considerable,adj.,相当多的,xxx
legalize,v.,合法化,xxx
dispensable,adj.,可有可无的,xxx
certify,v.,保证，证明,xxx
insurer,n.,保险公司；承保人,xxx
overstate,v.,夸张,xxx
profound,adj.,深刻的；博学的,xxx
agony,n.,痛苦,xxx
craft,n.,手艺,v.,精巧地制作,xxx
obscurity,n.,默默无闻,xxx
guarantee,v.,保证,xxx
dolphin,n.,海豚,xxx
severity,n.,严重性,xxx
discourage,v.,阻止；使气馁,xxx
fault,n.,过失,xxx
robbery,n.,抢劫,xxx
inanimate,adj.,无生命的,xxx
calculation,n.,计算,xxx
baffle,v.,使迷惑，困惑,xxx
overcharge,v.,多收钱,xxx
nap,n.,小睡,xxx
disposal,n.,处理；支配,xxx
authorities,n.,当局,xxx
chronicle,v.,记录,xxx
shade,v.,为…遮阳[挡光]，遮蔽〔光线〕,xxx
milestone,n.,里程碑,xxx
unstable,adj.,不稳定的,xxx
strain,n.,压力,xxx
municipal,adj.,市政府的,xxx
ideologically,adv.,意识形态上地,xxx
greedy,adj.,贪婪的,xxx
robust,adj.,强健的,xxx
diagnose,v.,诊断,xxx
definite,adj.,一定的，确切的,xxx
reserved,adj.,保留意见的；矜持的,xxx
affection,n.,喜爱,xxx
material,n.,材料,xxx
conduct,v.,进行，实行,xxx
association,n.,联系,xxx
collide,v.,撞击，碰撞,xxx
industrious,adj.,勤奋的,xxx
fascinate,v.,使着迷,xxx
prevalence,n.,流行，普遍,xxx
exert,v.,施加,xxx
minor,adj.,次要的，小的,xxx
tempting,adj.,吸引人的,xxx
appropriation,n.,挪用,xxx
injustice,n.,不公正,xxx
irrelevant,adj.,无关的,xxx
registration,n.,注册，登记,xxx
democracy,n.,民主,xxx
grateful,adj.,感激的,xxx
offense,n.,冒犯,xxx
atmosphere,n.,气氛；大气（层）,xxx
approach,n.,方法,xxx
rival,n.,对手,xxx
commitment,n.,承诺,xxx
furious,adj.,生气的；激烈的,xxx
accurate,adj.,精确的,xxx
abstract,adj.,抽象的,xxx
deprivation,n.,剥夺，匮乏,xxx
designate,v.,指定，委派,xxx
turtle,n.,海龟,xxx
expertise,n.,专业知识,xxx
vessel,n.,血管,xxx
ventilate,v.,使通风,xxx
trade-off,n.,权衡，交易,xxx
endless,adj.,无限的，没完没了的,xxx
temptation,n.,诱惑,xxx
legislation,n.,立法,xxx
duplication,n.,复制品,xxx
trick,n.,骗局，诡计,xxx
evaluation,n.,评价,xxx
abandonment,n.,放弃,xxx
turbulent,adj.,动荡的，骚乱的,xxx
expel,v.,开除，驱逐,xxx
carpenter,n.,木匠,xxx
hasty,adj.,匆忙的,xxx
unprecedented,adj.,史无前例的,xxx
extreme,adj.,极端的,xxx
outperform,v.,胜过,xxx
modernize,v.,现代化,xxx
interactive,adj.,〔人与计算机程序、电视系统等〕交互的，互动的；合作的；相互交流的,xxx
successively,adv.,接连着地，继续地,xxx
innovation,n.,创新，革新；新观念；新方法；新发明,xxx
elaborately,adv.,复杂地，精心设计地,xxx
vegetarian,n.,素食主义者,xxx
faculty,n.,〔大学的〕全体教员,xxx
render,v.,给予,xxx
portray,v.,描述,xxx
notion,n.,想法，观点,xxx
tropical,adj.,热带的,xxx
character,n.,角色；某物的特色,xxx
infectious,adj.,感染的，传染的,xxx
lawn,n.,草坪,xxx
permanent,adj.,永久的,xxx
transcend,v.,超越,xxx
kidnap,v.,绑架,xxx
dominate,v.,主导，主宰,xxx
stabilize,v.,使稳固，使安定,xxx
consult,v.,咨询,xxx
resume,n.,简历,xxx
migrate,v.,移民；迁徙,xxx
isolation,n.,隔绝，隔离,xxx
derive,v.,获得,xxx
conservation,n.,保护,xxx
incidence,n.,发生率,xxx
perpetual,adj.,永久的,xxx
pessimistic,adj.,悲观的,xxx
crew,n.,机组人员,xxx
mourn,v.,哀悼,xxx
vice,n.,恶习,xxx
shot,n.,照相，照片,xxx
virus,n.,病毒,xxx
dorm,n.,宿舍,xxx
erupt,v.,爆发；喷出,xxx
impact,n.,影响,xxx
index,n.,指数；标志，指标,xxx
claim,v.,声称；索取,xxx
embrace,v.,采纳，接受,xxx
enviable,adj.,值得羡慕的,xxx
blouse,n.,女衬衫,xxx
deliver,v.,递送；发表演讲,xxx
rhythm,n.,节奏,xxx
code,n.,代号，密码,xxx
monopoly,n.,垄断,xxx
interfere,adj.,干涉；妨碍,xxx
contestant,n.,参赛者,xxx
ridiculous,adj.,滑稽的，可笑的,xxx
glamorous,adj.,有魅力的，迷人的,xxx
mall,n.,商场,xxx
chronically,adv.,慢性地；持久地,xxx
prolonged,adj.,长时间的,xxx
symptom,n.,症状,xxx
compelling,adj.,引人注目的,xxx
immensely,adv.,非常，极大地,xxx
species,n.,物种,xxx
battle,n.,激战，战役,xxx
conflict,n.,冲突,xxx
permeate,v.,渗透,xxx
erroneous,adj.,错误的,xxx
compartment,n.,车厢,,隔间,xxx
metropolitan,adj.,大都市的,xxx
grip,n.,抓住,xxx
crush,v.,压碎，压榨,xxx
prior,adj.,先前的；优先的,xxx
formula,n.,公式,xxx
inescapable,adj.,不可避免的,xxx
skeptical,adj.,怀疑的,xxx
harness,v.,利用，控制,xxx
destination,n.,目的地,xxx
vocational,adj.,职业的,xxx
density,n.,密度,xxx
variance,n.,不同,xxx
landmark,n.,地标,xxx
linger,v.,逗留，徘徊,xxx
luxurious,adj.,奢侈的，豪华的,xxx
astronomical,adj.,天文数字的,xxx
coordination,n.,协调；（肌肉的）协调,xxx
currency,n.,货币,xxx
blame,v.,谴责,xxx
dismiss,v.,解雇,xxx
testify,v.,作证；证明，检验,xxx
qualify,v.,使有资格,xxx
inquire,v.,询问,xxx
emphasize,v.,强调,xxx
overwhelming,adj.,压倒性的,xxx
flame,n.,火焰,xxx
imitate,v.,模仿,xxx
handle,n.,把手,xxx
drought,n.,干旱,xxx
drummer,n.,鼓手,xxx
revive,v.,复兴；复苏,xxx
vulnerable,adj.,脆弱的,,易受影响的,xxx
spot,n.,点；地点，处所,v.,发现,xxx
suppress,v.,镇压，压制,xxx
diminish,v.,减少,xxx
reconcile,v.,使一致；使和解，调解,xxx
artificial,adj.,人造的；虚伪的,xxx
athletic,adj.,强壮的；擅长运动的；运动的，运动员的,xxx
confrontational,adj.,对抗的，有敌意的,xxx
row,v.,划船,xxx
navigate,v.,航行，驾驶,xxx
panic,n.,惊慌,xxx
hostile,adj.,有敌意的,xxx
console,v.,安慰,xxx
endanger,v.,使……危险,xxx
prospect,n.,前景,xxx
discern,v.,识别,xxx
judicial,adj.,司法的,xxx
impair,v.,损害,xxx
motel,n.,汽车旅馆,xxx
signal,v.,标志,xxx
therapy,n.,疗法,xxx
diverse,adj.,各种各样的,xxx
conserve,v.,保留，保护,xxx
adaptation,n.,改编版；适应,xxx
resist,v.,抵制,xxx
convince,v.,使……相信,xxx
burden,n.,负担,xxx
payroll,n.,工资总额,xxx
unified,adj.,统一的,xxx
hasten,v.,加速,xxx
intertwine,v.,交织，纠缠,xxx
accommodate,v.,容纳；适应,xxx
prescribe,v.,开处方,xxx
construction,n.,建筑,xxx
endure,v.,忍受,xxx
election,n.,选举,xxx
jury,n.,陪审团,xxx
glory,n.,光荣，荣誉,xxx
sew,v.,缝上，缝纫,xxx
sector,n.,部门,xxx
hazardous,adj.,危险的,xxx
deprive,v.,剥夺,xxx
generous,adj.,慷慨的,xxx
constrain,v.,限制,xxx
phenomenon,n.,现象,xxx
assume,v.,假定，认为,xxx
conscientious,adj.,有良心的，认真负责的,xxx
concession,n.,妥协,xxx
suspect,v.,怀疑,n.,嫌疑犯,xxx
sample,n.,样本，样品,xxx
penalty,n.,惩罚,xxx
representative,n.,代表,xxx
soothe,v.,安慰，减轻,xxx
entail,v.,使需要，使必须,xxx
objective,n.,目标，目的,xxx
submit,v.,提交,xxx
identify,v.,认出，识别,xxx
infect,v.,感染,xxx
burial,n.,埋葬,xxx
genius,n.,天才,xxx
submerge,v.,淹没,xxx
stereotype,n.,刻板印象，固有印象,xxx
clarify,v.,澄清，明确,xxx
conversion,n.,转变,xxx
resident,n.,居民,xxx
aspect,n.,方面,xxx
apologize,v.,道歉,xxx
decent,adj.,像样的；正派的，规矩的,xxx
fixture,n.,固定装置,xxx
institution,n.,机构,xxx
scent,n.,香味,xxx
welfare,n.,幸福；福利,xxx
subsidy,n.,补助,xxx
superficial,adj.,表面的,xxx
private,adj.,私人的,xxx
conventional,adj.,传统的,xxx
wonder,v.,想知道，好奇,xxx
tedious,adj.,冗长的,xxx
subordinate,adj.,从属的；次要的,xxx
frame,v.,制定，拟定〔计划、体制等〕,xxx
smuggle,v.,走私,xxx
reimbursement,n.,返还费用,xxx
disappear,v.,消失,xxx
inhale,v.,吸入,xxx
majority,n.,大多数,xxx
memorize,v.,熟记,xxx
cumulative,adj.,积累的,xxx
trap,v.,捕捉,xxx
lofty,adj.,高耸的；崇高的,xxx
clarity,n.,清晰，清楚,xxx
interact,v.,互动,xxx
refine,v.,提炼；改进，完善,xxx
confer,v.,授予,xxx
anonymous,adj.,匿名的,xxx
commentator,n.,评论员,xxx
keen,adj.,敏锐的；浓厚的,xxx
enforce,v.,强迫，迫使,xxx
grocery,n.,杂货店,xxx
spread,v.,传播，扩散,xxx
recruit,v.,招聘,xxx
justified,adj.,正当的,xxx
eccentric,adj.,古怪的,xxx
bridge,v.,架桥于…之上；缩小,xxx
neglect,v.,疏忽；忽视,xxx
principle,n.,道德原则；原则,xxx
stain,n.,污渍，污点,xxx
encourage,v.,鼓励,xxx
convincing,adj.,令人信服的,xxx
indiscriminately,adv.,不加选择地，不加区分地,xxx
resolute,adj.,坚定的,xxx
indicative,adj.,指示的,xxx
perish,v.,死亡,xxx
philosopher,n.,哲学家,xxx
recipe,n.,食谱；秘诀,xxx
excessive,adj.,过度的,xxx
rigor,n.,严格，严谨,xxx
deficient,adj.,不足的，缺乏的,xxx
incompetence,n.,无能,xxx
entitle,v.,使具有资格,xxx
adventurer,n.,冒险者,xxx
quicken,v.,加快,xxx
divert,v.,使转向；转移注意力,xxx
recommend,v.,推荐,xxx
incalculable,adj.,不可估量的，无法计算的,xxx
outcome,n.,结果,xxx
scaffolding,n.,脚手架,xxx
garage,n.,车库,xxx
domestic,adj.,国内的,xxx
cultivate,v.,培养,xxx
formulate,v.,制定，规划,xxx
shed,v.,洒,(热血),xxx
worldwide,adv.,世界范围地，全世界,xxx
fuss,n.,小题大做,xxx
contention,n.,争论,xxx
hijack,v.,劫持,xxx
dweller,n.,居住者,xxx
buck,v.,反对,n.,美元,xxx
view,v.,看待,xxx
pronoun,n.,代词,xxx
contribution,n.,贡献,xxx
undecided,adj.,不确定的,xxx
restrict,v.,限制,xxx
reverse,adj.,相反的,xxx
grasp,v.,理解；抓住,xxx
provoke,v.,激怒,xxx
texture,n.,质地,xxx
publicity,n.,宣传,xxx
format,n.,形式,xxx
indifferent,adj.,冷漠的,xxx
incentive,n.,刺激,xxx
prejudice,n.,偏见,xxx
assumption,n.,假设,xxx
habitual,adj.,习惯的,xxx
sculpture,n.,雕塑,xxx
responsibility,n.,责任,xxx
manuscript,n.,手稿,xxx
duplicate,n.,副本，复制品,xxx
ecosystem,n.,生态系统,xxx
humorous,adj.,幽默的,xxx
contaminate,v.,污染，弄脏,xxx
orbit,n.,轨道,xxx
evolve,v.,进化,xxx
skyrocket,v.,猛增,xxx
portion,n.,部分,xxx
cautious,adj.,谨慎的,xxx
assassinate,v.,刺杀，暗杀,xxx
narrow,v.,变窄，缩小,xxx
botanical,adj.,植物学的,xxx
conquer,v.,征服,xxx
regain,v.,重新获得,xxx
composition,n.,作文,xxx
stress,v.,强调,xxx
yield,v.,产生,xxx
spectacle,n.,景象,xxx
host,v.,主持,xxx
release,v.,释放；发布,xxx
malicious,adj.,恶毒的,xxx
prevailing,adj.,流行的,xxx
gratitude,n.,感激,xxx
mobility,n.,流动性；活动性,xxx
ascend,v.,上升,xxx
fake,n.,假货,xxx
inflation,n.,通货膨胀,xxx
plot,n.,情节,xxx
manufacture,v.,生产，制造,xxx
criticism,n.,批评,xxx
outsource,v.,外包,xxx
obstacle,n.,阻碍,xxx
appreciative,adj.,表示赞赏的，感谢的,xxx
predominantly,adv.,占主导地位地,xxx
invasion,n.,入侵,xxx
detect,v.,发现,xxx
addict,n.,吸毒上瘾者；对…着迷的人,xxx
slash,v.,猛削，劈，砍；削减,xxx
cognitive,adj.,认知的,xxx
extinguish,v.,熄灭；使消亡,xxx
disadvantage,n.,缺点，不利条件,xxx
alien,adj.,陌生的,xxx
barely,adv.,几乎不，仅仅,xxx
simulate,v.,模拟，模仿,xxx
prospective,adj.,预期的；未来的,xxx
interaction,n.,相互影响，相互作用；互动,xxx
materialize,v.,实现,xxx
contribute,v.,有助于，促成；捐赠,xxx
dishonest,adj.,不诚实的,xxx
appeal,n.,请求，呼吁,；上诉,xxx
applicant,n.,申请者,xxx
intelligent,adj.,聪明的,xxx
spacious,adj.,宽敞的,xxx
fatal,adj.,致命的,xxx
counselor,n.,咨询顾问,xxx
potential,adj.,潜在的,n.,潜力,xxx
assimilate,v.,同化,xxx
cropland,n.,农田,xxx
relieved,adj.,轻松的，缓解的,xxx
compel,v.,强迫,xxx
program,v.,计划，安排,xxx
capacity,n.,能力；容量,xxx
orient,v.,使确定方向；使适应,xxx
undertaking,n.,任务，事情,xxx
shift,v.,转移注意力；转变,xxx
liberation,n.,解放,xxx
utterly,adv.,完全地，彻底地,xxx
immense,adj.,巨大的,xxx
inferior,adj.,比……差,xxx
accrue,v.,积累,xxx
genuine,adj.,真的；由衷的,xxx
nominate,v.,提名,xxx
distinctive,adj.,与众不同的,xxx
mismanagement,n.,管理不当,xxx
reckon,v.,认为，评价,xxx
mask,n.,面具,v.,掩饰，掩盖,xxx
forge,v.,伪造；锻造,xxx
identical,adj.,相同的,xxx
imperial,adj.,帝国的,xxx
target,n.,目标,v.,把…作为目标,xxx
disconnect,v.,断开,xxx
immigrant,n.,移民,xxx
unqualified,adj.,不合格的，不胜任的,xxx
edit,v.,编校；编辑；剪辑,xxx
govern,v.,管理,xxx
assert,v.,主张，断言,xxx
breezy,adj.,轻松愉快的,xxx
hesitate,v.,犹豫,xxx
presidency,n.,总统任期,xxx
quota,n.,配额,xxx
dropout,n.,辍学学生,xxx
capture,v.,逮捕；捕捉,xxx
integrity,n.,正直,xxx
flee,v.,离开,xxx
certification,n.,证书,xxx
instant,adj.,立即的,xxx
criminal,adj.,犯罪的,n.,罪犯,xxx
clue,n.,线索,xxx
arrogant,adj.,傲慢无礼的,xxx
elevate,v.,提升；举起,xxx
expansion,n.,扩张；扩大,xxx
authority,n.,权威；当局,xxx
publicize,v.,宣传,xxx
reflective,adj.,反映的，反射的；深思熟虑的,xxx
quantity,n.,数量,xxx
acutely,adv.,强烈地,xxx
isolate,v.,使隔离,xxx
vigorous,adj.,积极的；精力充沛的,xxx
counsel,v.,建议，忠告,xxx
vivid,adj.,生动的,xxx
hostility,n.,敌意,xxx
collaborate,v.,合作,xxx
consultation,n.,商议,xxx
transition,n.,过渡,xxx
deteriorate,v.,恶化,xxx
pasture,n.,牧场,xxx
eyewitness,n.,目击者,xxx
trait,n.,特点,xxx
anticipate,v.,期望，预期,xxx
numerous,adj.,无数的,xxx
combination,n.,组合，结合,xxx
slightly,adv.,轻微地,xxx
dividend,n.,分红，红利,xxx
minimal,adj.,最低的，最小限度的,xxx
derail,v.,脱轨,xxx
barrier,n.,障碍，阻碍,xxx
ingenuity,n.,创造力,xxx
bribe,v.,贿赂,xxx
guesstimate,n.,大概估计，瞎猜估计,xxx
negotiation,n.,协商,xxx
hardship,n.,艰难,xxx
badge,n.,标记,,徽章,xxx
compromise,v.,妥协,xxx
excess,n.,过量，过度,xxx
descendant,n.,子孙后代,xxx
fulfill,v.,实现,xxx
collective,adj.,共同的,xxx
amend,v.,修订,xxx
tangled,adj.,纠缠的；复杂的,xxx
qualification,n.,资格,xxx
recall,v.,回忆起，想起,xxx
adopt,v.,采纳,xxx
tasteless,adj.,没有味道的,xxx
drown,v.,溺水,xxx
tragedy,n.,悲剧,xxx
circulation,n.,发行量,xxx
grand,adj.,壮丽的，极好的,xxx
inadequate,adj.,不足的,xxx
household,n.,家庭，一家人,xxx
authorization,n.,授权,xxx
auxiliary,adj.,辅助的,xxx
adverse,adj.,不利的,xxx
descriptive,adj.,描写的，描述的,xxx
trace,v.,追踪,xxx
bloom,v.,开花，茂盛,xxx
evaluate,v.,评价,xxx
humanistic,adj.,人文的,xxx
cozy,adj.,舒适的,xxx
plough,n.,犁,xxx
melt,v.,融化,xxx
lest,conj.,以免,xxx
ready,adj.,乐意的，愿意的,xxx
formidable,adj.,可怕的；令人敬畏的，令人惊叹的,xxx
feasible,adj.,可行的,xxx
regarding,prep.,关于,xxx
needle,n.,指针；针,xxx
dimension,n.,尺寸；维,xxx
specialize,v.,专业从事,xxx
overturn,v.,推翻,xxx
shrank,v.,收缩(shrink过去式),xxx
adversely,adv.,不利地,xxx
check,v.,检查；阻止,xxx
testimony,n.,证词,xxx
rigorous,adj.,严格的,xxx
privileged,adj.,有特权的,xxx
expectation,n.,期望,xxx
bias,n.,偏见,xxx
lawsuit,n.,诉讼,xxx
eloquent,adj.,口才好的，雄辩的,xxx
shrink,v.,缩减，缩小,xxx
regulation,n.,规则；管理,xxx
alternative,n.,代替品,xxx
moist,adj.,潮湿的,xxx
surpass,v.,超过,xxx
fabric,n.,布料,xxx
distinction,n.,区分,xxx
eradicate,v.,根除,xxx
brilliant,adj.,才华横溢的；极好的,xxx
redefine,v.,重新定义,xxx
arm,v.,装备，武装,xxx
intensely,adv.,强烈地,xxx
desperate,adj.,绝望的，不顾一切的,xxx
